Time [s]	Aux in [V]	Main in [V]
0.0000E+0	9.2773E-3	5.0967E-1
1.0000E-6	9.7656E-3	5.1006E-1
2.0000E-6	9.2773E-3	5.0801E-1
3.0000E-6	1.0010E-2	5.0591E-1
4.0000E-6	9.2773E-3	5.0532E-1
5.0000E-6	9.7656E-3	5.0371E-1
6.0000E-6	9.7656E-3	5.0396E-1
7.0000E-6	9.5215E-3	5.0552E-1
8.0000E-6	9.7656E-3	5.0669E-1
9.0000E-6	9.2773E-3	5.0630E-1
1.0000E-5	9.7656E-3	5.0610E-1
1.1000E-5	9.7656E-3	5.0430E-1
1.2000E-5	1.0010E-2	5.0249E-1
1.3000E-5	9.5215E-3	5.0161E-1
1.4000E-5	9.7656E-3	4.9844E-1
1.5000E-5	1.0010E-2	4.9473E-1
1.6000E-5	9.7656E-3	4.9111E-1
1.7000E-5	1.0010E-2	4.8687E-1
1.8000E-5	1.0254E-2	4.7900E-1
1.9000E-5	9.5215E-3	4.7178E-1
2.0000E-5	9.7656E-3	4.6191E-1
2.1000E-5	9.2773E-3	4.5234E-1
2.2000E-5	9.5215E-3	4.4165E-1
2.3000E-5	9.7656E-3	4.3350E-1
2.4000E-5	9.7656E-3	4.2720E-1
2.5000E-5	9.7656E-3	4.2329E-1
2.6000E-5	9.2773E-3	4.1821E-1
2.7000E-5	1.0254E-2	4.1431E-1
2.8000E-5	1.0254E-2	4.0874E-1
2.9000E-5	9.5215E-3	4.0381E-1
3.0000E-5	9.5215E-3	3.9800E-1
3.1000E-5	9.2773E-3	3.9341E-1
3.2000E-5	9.5215E-3	3.9102E-1
3.3000E-5	9.2773E-3	3.9126E-1
3.4000E-5	9.2773E-3	3.8950E-1
3.5000E-5	9.2773E-3	3.8667E-1
3.6000E-5	1.0010E-2	3.8208E-1
3.7000E-5	1.0254E-2	3.7720E-1
3.8000E-5	9.2773E-3	3.6924E-1
3.9000E-5	9.5215E-3	3.6016E-1
4.0000E-5	9.2773E-3	3.5298E-1
4.1000E-5	9.7656E-3	3.4785E-1
4.2000E-5	1.0010E-2	3.4092E-1
4.3000E-5	9.5215E-3	3.3677E-1
4.4000E-5	1.0010E-2	3.3359E-1
4.5000E-5	9.5215E-3	3.3164E-1
4.6000E-5	1.0498E-2	3.2803E-1
4.7000E-5	9.0332E-3	3.2632E-1
4.8000E-5	1.0010E-2	3.2437E-1
4.9000E-5	1.0010E-2	3.2393E-1
5.0000E-5	9.7656E-3	3.2178E-1
5.1000E-5	9.5215E-3	3.1968E-1
5.2000E-5	1.0254E-2	3.1685E-1
5.3000E-5	9.5215E-3	3.1333E-1
5.4000E-5	9.0332E-3	3.0967E-1
5.5000E-5	9.5215E-3	3.0630E-1
5.6000E-5	9.5215E-3	3.0356E-1
5.7000E-5	9.0332E-3	2.9985E-1
5.8000E-5	9.5215E-3	2.9663E-1
5.9000E-5	9.5215E-3	2.9326E-1
6.0000E-5	9.7656E-3	2.8862E-1
6.1000E-5	9.2773E-3	2.8330E-1
6.2000E-5	9.5215E-3	2.8008E-1
6.3000E-5	9.0332E-3	2.7686E-1
6.4000E-5	9.7656E-3	2.7329E-1
6.5000E-5	9.2773E-3	2.7236E-1
6.6000E-5	9.5215E-3	2.7231E-1
6.7000E-5	9.0332E-3	2.7153E-1
6.8000E-5	1.0010E-2	2.7041E-1
6.9000E-5	9.5215E-3	2.7168E-1
7.0000E-5	9.7656E-3	2.7222E-1
7.1000E-5	9.5215E-3	2.7285E-1
7.2000E-5	9.5215E-3	2.7319E-1
7.3000E-5	9.7656E-3	2.7363E-1
7.4000E-5	9.7656E-3	2.7202E-1
7.5000E-5	9.7656E-3	2.6924E-1
7.6000E-5	9.7656E-3	2.6479E-1
7.7000E-5	9.7656E-3	2.6094E-1
7.8000E-5	1.0254E-2	2.5913E-1
7.9000E-5	1.0010E-2	2.5737E-1
8.0000E-5	9.2773E-3	2.5757E-1
8.1000E-5	9.2773E-3	2.5835E-1
8.2000E-5	9.5215E-3	2.5776E-1
8.3000E-5	1.0010E-2	2.5566E-1
8.4000E-5	9.5215E-3	2.5503E-1
8.5000E-5	9.2773E-3	2.5479E-1
8.6000E-5	9.5215E-3	2.5576E-1
8.7000E-5	9.5215E-3	2.5693E-1
