Time [s]	Aux in [V]	Main in [V]
0.0000E+0	9.7656E-3	6.0098E-1
1.0000E-6	9.5215E-3	6.0029E-1
2.0000E-6	9.5215E-3	5.9868E-1
3.0000E-6	9.7656E-3	5.9785E-1
4.0000E-6	9.0332E-3	5.9912E-1
5.0000E-6	9.0332E-3	6.0049E-1
6.0000E-6	1.0010E-2	5.9995E-1
7.0000E-6	9.2773E-3	6.0044E-1
8.0000E-6	9.0332E-3	6.0098E-1
9.0000E-6	9.5215E-3	6.0068E-1
1.0000E-5	9.5215E-3	5.9927E-1
1.1000E-5	9.5215E-3	5.9766E-1
1.2000E-5	9.5215E-3	5.9663E-1
1.3000E-5	9.5215E-3	5.9595E-1
1.4000E-5	9.2773E-3	5.9683E-1
1.5000E-5	1.0010E-2	5.9893E-1
1.6000E-5	9.2773E-3	6.0156E-1
1.7000E-5	1.0254E-2	6.0698E-1
1.8000E-5	9.0332E-3	6.1152E-1
1.9000E-5	9.2773E-3	6.1523E-1
2.0000E-5	9.5215E-3	6.1899E-1
2.1000E-5	9.5215E-3	6.2480E-1
2.2000E-5	9.7656E-3	6.2759E-1
2.3000E-5	1.0254E-2	6.2939E-1
2.4000E-5	9.0332E-3	6.2915E-1
2.5000E-5	9.7656E-3	6.2827E-1
2.6000E-5	9.2773E-3	6.2656E-1
2.7000E-5	9.7656E-3	6.2300E-1
2.8000E-5	9.2773E-3	6.2104E-1
2.9000E-5	9.2773E-3	6.2129E-1
3.0000E-5	9.5215E-3	6.2368E-1
3.1000E-5	9.5215E-3	6.2710E-1
3.2000E-5	1.0254E-2	6.3291E-1
3.3000E-5	9.5215E-3	6.3706E-1
3.4000E-5	9.5215E-3	6.3984E-1
3.5000E-5	9.0332E-3	6.4077E-1
3.6000E-5	8.7891E-3	6.3999E-1
3.7000E-5	9.7656E-3	6.3711E-1
3.8000E-5	9.5215E-3	6.3345E-1
3.9000E-5	1.0254E-2	6.3076E-1
4.0000E-5	9.7656E-3	6.2798E-1
4.1000E-5	9.7656E-3	6.2480E-1
4.2000E-5	9.2773E-3	6.2305E-1
4.3000E-5	9.5215E-3	6.2158E-1
4.4000E-5	9.2773E-3	6.1992E-1
4.5000E-5	9.2773E-3	6.1978E-1
4.6000E-5	1.0010E-2	6.2100E-1
4.7000E-5	1.0010E-2	6.2363E-1
4.8000E-5	9.0332E-3	6.2764E-1
4.9000E-5	1.0010E-2	6.3037E-1
5.0000E-5	1.0010E-2	6.3164E-1
5.1000E-5	1.0010E-2	6.3340E-1
5.2000E-5	9.5215E-3	6.3193E-1
5.3000E-5	9.7656E-3	6.2944E-1
5.4000E-5	9.0332E-3	6.2588E-1
5.5000E-5	9.5215E-3	6.2134E-1
5.6000E-5	9.2773E-3	6.1416E-1
5.7000E-5	9.5215E-3	6.0957E-1
5.8000E-5	9.0332E-3	6.0518E-1
5.9000E-5	8.5449E-3	6.0239E-1
6.0000E-5	9.7656E-3	5.9932E-1
6.1000E-5	9.2773E-3	5.9502E-1
6.2000E-5	9.5215E-3	5.8960E-1
6.3000E-5	9.5215E-3	5.8335E-1
6.4000E-5	9.0332E-3	5.7861E-1
6.5000E-5	9.7656E-3	5.7583E-1
6.6000E-5	9.7656E-3	5.7563E-1
6.7000E-5	1.0986E-2	5.7363E-1
6.8000E-5	9.7656E-3	5.7129E-1
6.9000E-5	9.2773E-3	5.6748E-1
7.0000E-5	9.7656E-3	5.6182E-1
7.1000E-5	9.7656E-3	5.5479E-1
7.2000E-5	9.7656E-3	5.4941E-1
7.3000E-5	9.0332E-3	5.4355E-1
7.4000E-5	9.7656E-3	5.3701E-1
7.5000E-5	9.7656E-3	5.3037E-1
7.6000E-5	9.5215E-3	5.2422E-1
7.7000E-5	9.7656E-3	5.1616E-1
7.8000E-5	9.5215E-3	5.0913E-1
7.9000E-5	9.5215E-3	5.0342E-1
8.0000E-5	9.5215E-3	4.9844E-1
8.1000E-5	1.0254E-2	4.9443E-1
8.2000E-5	9.2773E-3	4.9116E-1
8.3000E-5	8.7891E-3	4.8677E-1
8.4000E-5	9.5215E-3	4.8062E-1
8.5000E-5	9.2773E-3	4.7603E-1
8.6000E-5	9.2773E-3	4.7012E-1
8.7000E-5	9.5215E-3	4.6514E-1
8.8000E-5	9.5215E-3	4.6055E-1
8.9000E-5	9.2773E-3	4.5620E-1
9.0000E-5	1.0010E-2	4.4927E-1
9.1000E-5	1.0010E-2	4.4263E-1
9.2000E-5	9.2773E-3	4.3521E-1
9.3000E-5	9.7656E-3	4.3042E-1
9.4000E-5	9.0332E-3	4.2573E-1
9.5000E-5	9.5215E-3	4.2188E-1
9.6000E-5	9.2773E-3	4.1685E-1
9.7000E-5	9.5215E-3	4.1138E-1
9.8000E-5	9.2773E-3	4.0366E-1
9.9000E-5	9.7656E-3	3.9927E-1
1.0000E-4	1.0010E-2	3.9312E-1
1.0100E-4	1.0254E-2	3.8823E-1
1.0200E-4	8.7891E-3	3.8433E-1
1.0300E-4	9.5215E-3	3.8140E-1
1.0400E-4	9.5215E-3	3.7549E-1
1.0500E-4	9.5215E-3	3.7129E-1
1.0600E-4	9.5215E-3	3.6885E-1
1.0700E-4	9.7656E-3	3.6592E-1
1.0800E-4	9.5215E-3	3.6216E-1
1.0900E-4	9.5215E-3	3.5947E-1
1.1000E-4	9.0332E-3	3.5728E-1
1.1100E-4	9.5215E-3	3.5439E-1
1.1200E-4	9.0332E-3	3.5015E-1
1.1300E-4	9.2773E-3	3.4570E-1
1.1400E-4	9.7656E-3	3.4121E-1
1.1500E-4	9.2773E-3	3.3501E-1
1.1600E-4	9.7656E-3	3.2949E-1
1.1700E-4	9.0332E-3	3.2651E-1
1.1800E-4	9.7656E-3	3.2476E-1
1.1900E-4	9.5215E-3	3.2261E-1
1.2000E-4	9.7656E-3	3.2202E-1
1.2100E-4	1.0498E-2	3.2002E-1
