Time [s]	Aux in [V]	Main in [V]
0.0000E+0	1.0254E-2	-2.4170E-2
1.0000E-8	9.5215E-3	-2.4951E-2
2.0000E-8	9.2773E-3	-2.5049E-2
3.0000E-8	9.7656E-3	-2.5098E-2
4.0000E-8	9.5215E-3	-2.4902E-2
5.0000E-8	9.2773E-3	-2.4854E-2
6.0000E-8	9.5215E-3	-2.4658E-2
7.0000E-8	8.7891E-3	-2.4658E-2
8.0000E-8	1.0254E-2	-2.4365E-2
9.0000E-8	9.5215E-3	-2.4414E-2
1.0000E-7	9.0332E-3	-2.4219E-2
1.1000E-7	9.7656E-3	-2.3779E-2
1.2000E-7	9.2773E-3	-2.3437E-2
1.3000E-7	9.2773E-3	-2.3340E-2
1.4000E-7	9.5215E-3	-2.3193E-2
1.5000E-7	9.0332E-3	-2.3242E-2
1.6000E-7	9.0332E-3	-2.3584E-2
1.7000E-7	8.5449E-3	-2.4023E-2
1.8000E-7	9.5215E-3	-2.4561E-2
1.9000E-7	9.2773E-3	-2.5342E-2
2.0000E-7	9.0332E-3	-2.5586E-2
2.1000E-7	9.5215E-3	-2.5439E-2
2.2000E-7	9.7656E-3	-2.5342E-2
2.3000E-7	9.2773E-3	-2.5293E-2
2.4000E-7	9.5215E-3	-2.4902E-2
2.5000E-7	9.2773E-3	-2.4658E-2
2.6000E-7	9.0332E-3	-2.4707E-2
2.7000E-7	9.7656E-3	-2.4854E-2
2.8000E-7	9.5215E-3	-2.4854E-2
2.9000E-7	9.2773E-3	-2.4609E-2
3.0000E-7	1.0010E-2	-2.4219E-2
3.1000E-7	9.2773E-3	-2.3828E-2
3.2000E-7	9.0332E-3	-2.3389E-2
3.3000E-7	9.2773E-3	-2.3193E-2
3.4000E-7	1.0010E-2	-2.3047E-2
3.5000E-7	1.0010E-2	-2.3242E-2
3.6000E-7	9.5215E-3	-2.3535E-2
3.7000E-7	1.0010E-2	-2.3633E-2
3.8000E-7	9.5215E-3	-2.3535E-2
3.9000E-7	9.5215E-3	-2.4170E-2
4.0000E-7	9.0332E-3	-2.4414E-2
4.1000E-7	9.5215E-3	-2.4707E-2
4.2000E-7	8.5449E-3	-2.4902E-2
4.3000E-7	9.2773E-3	-2.5391E-2
4.4000E-7	9.2773E-3	-2.5342E-2
4.5000E-7	9.0332E-3	-2.5049E-2
4.6000E-7	9.7656E-3	-2.4561E-2
4.7000E-7	9.5215E-3	-2.4756E-2
4.8000E-7	1.0010E-2	-2.4854E-2
4.9000E-7	1.0010E-2	-2.4561E-2
5.0000E-7	9.2773E-3	-2.4707E-2
5.1000E-7	9.5215E-3	-2.4707E-2
5.2000E-7	1.0010E-2	-2.4414E-2
5.3000E-7	8.7891E-3	-2.3975E-2
5.4000E-7	9.5215E-3	-2.3779E-2
5.5000E-7	9.5215E-3	-2.4121E-2
5.6000E-7	9.0332E-3	-2.4170E-2
5.7000E-7	9.5215E-3	-2.3779E-2
5.8000E-7	9.5215E-3	-2.3486E-2
5.9000E-7	9.5215E-3	-2.3682E-2
6.0000E-7	9.5215E-3	-2.3242E-2
6.1000E-7	9.2773E-3	-2.3291E-2
6.2000E-7	1.0010E-2	-2.3926E-2
6.3000E-7	9.2773E-3	-2.4170E-2
6.4000E-7	9.5215E-3	-2.3926E-2
6.5000E-7	9.7656E-3	-2.4072E-2
6.6000E-7	1.0254E-2	-2.4316E-2
6.7000E-7	9.7656E-3	-2.4707E-2
6.8000E-7	1.0010E-2	-2.4951E-2
6.9000E-7	9.0332E-3	-2.5195E-2
7.0000E-7	9.5215E-3	-2.5293E-2
7.1000E-7	9.2773E-3	-2.5049E-2
7.2000E-7	9.7656E-3	-2.4414E-2
7.3000E-7	9.2773E-3	-2.4805E-2
7.4000E-7	9.2773E-3	-2.5244E-2
7.5000E-7	1.0010E-2	-2.5439E-2
7.6000E-7	1.0254E-2	-2.5586E-2
7.7000E-7	9.7656E-3	-2.5928E-2
7.8000E-7	9.2773E-3	-2.5635E-2
7.9000E-7	1.0010E-2	-2.4854E-2
8.0000E-7	9.2773E-3	-2.4121E-2
8.1000E-7	9.2773E-3	-2.3975E-2
8.2000E-7	9.2773E-3	-2.3828E-2
8.3000E-7	9.5215E-3	-2.3926E-2
8.4000E-7	9.5215E-3	-2.4512E-2
8.5000E-7	9.7656E-3	-2.4951E-2
8.6000E-7	9.2773E-3	-2.4902E-2
8.7000E-7	9.7656E-3	-2.5195E-2
8.8000E-7	8.7891E-3	-2.4805E-2
8.9000E-7	9.2773E-3	-2.4121E-2
9.0000E-7	9.2773E-3	-2.4072E-2
9.1000E-7	1.0010E-2	-2.4365E-2
